;ExecutableStatementCount;NumberOfParameters_CK;NCSSForThisMethod;NumberOfMethods_Checkstyle;RFC;Si;MCLC;NumberOfStringLiterals;NumberOfUniqueWords;CyclomaticComplexity;NestedIfElseDepth;NumberOfProtectedMethod;MethodLength;ThrowsCount;Returns;VG;MaxNumberOfNestedBlocks;CBO;NumberOfLambdas;NOP;NVAR;ClassDataAbstractionCoupling;NPathComplexity;BooleanExpressionComplexity;NumberOfComparisons;NumberOfMathOperations;NumberOfPrivateMethod;ClassFanOutComplexity;NumberOfAssignments;Fin;FileLength;NumberOfPublicMethods_Checkstyle;IsConstructor;NumberOfPackageMethod;NumberOfParenthesizedExps;IOVars;AnonymousInnerClassLength;NCOMP;NestedForDepth;NumberOfVariables;NumberOfTryCatch;NumberOfNumbers;Fout;WMC_CK;NestedTryDepth;Di;LOCMethod_CK;NumberOfLogStatements;NumberOfLoops;NumberOfInnerClasses;NumberOfModifiers;BuggedMethods;NCSSForThisClass;NumberOfAnonymousClasses;NBD;NCSSForThisFile;Ci
count;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463;5463.0;5463.0;5463.0;5463.0;5463.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;False;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5203;;;;;;;;;;;;;;;;;;;5391;;;;;
mean;1.6542192934285191;0.27896760021965955;2.3825736774665933;0.48325096101043385;1.401427786930258;0.26761852462017205;0.38769906644700713;0.4697052901336262;5.166209042650558;0.7845506132161816;0.018304960644334616;0.005308438586857038;3.6252974556104705;0.11733479773018488;0.3023979498444078;0.4834340106168772;0.15687351272194766;1.2414424308987735;0.0;0.16254805052169138;0.09683324180853012;0.14827018121911037;7.182500457624016;0.018304960644334616;0.09610104338275673;0.166575141863445;0.046860699249496617;0.7446457990115322;0.5518945634266886;0.13856855207761304;10.416803953871499;0.4173531026908292;;0.014827018121911038;0.0404539630239795;0.3986820428336079;0.08127402526084569;0.29086582463847704;0.0029287937030935385;0.3620721215449387;0.008237232289950576;0.16767343950210506;0.08127402526084569;0.7753981328940143;0.001281347245103423;0.3746543981147721;3.1171517481237414;0.14149734578070658;0.05033864177192019;0.0;1.8259198242723778;;3.5118066996155957;0.0032948929159802307;0.43602416254805054;4.2286289584477394;0.6422729227349441
std;3.331875618668891;0.8809440960780242;4.148171545647009;2.2024177596648715;3.0212438622442668;2.9399812718139655;1.78539445321813;1.5182724616962788;7.644411975703512;1.2989176740985477;0.14708786978613034;0.11548542358812819;6.393452342974681;0.444624592154488;0.6942298387394208;1.0003890471663386;0.49467308860623166;2.5884053157611655;0.0;0.4209058362867807;0.5087616111533889;0.9309658380701744;236.08395080661268;0.20438685038236012;0.7203871869018572;0.8476405123048202;0.4964177166771964;2.679539249813129;1.5991025203561522;2.4735178721556745;45.71475955924219;1.965858112626467;;0.23349940489368662;0.43887853364703727;0.6808128489130025;1.2023346577459915;1.4489237792321703;0.05404396832922375;1.3009180027461118;0.0943568145325391;0.9419639425681388;0.5109411360645365;1.1955775266835205;0.03577624472742812;0.6621316328288601;5.071676343210605;0.599282885215775;0.3023031551945115;0.0;5.830126837112115;;16.95512303355823;0.060421884179414805;0.7378194893266228;21.273744751472538;2.998698819521541
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0.0
75%;2.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;8.0;1.0;0.0;0.0;4.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;1.0;;0.0;0.0;1.0;0.0;1.0
max;60.0;33.0;75.0;59.0;39.0;100.0;59.0;37.0;68.0;30.0;2.0;3.0;94.0;5.0;17.0;16.0;5.0;50.0;0.0;6.0;8.0;22.0;10000.0;7.0;29.0;17.0;12.0;45.0;26.0;92.0;1356.0;59.0;;7.0;9.0;7.0;46.0;51.0;1.0;22.0;2.0;16.0;10.0;20.0;1.0;7.0;96.0;10.0;6.0;0.0;49.0;;406.0;2.0;7.0;616.0;100.090909091
