;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;2720;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;2446;;;;;;;;;;;;;;;;;;;;;;2634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;3.3316176470588235;0.01948529411764706;0.03161764705882353;0.6209558823529412;2.4683823529411764;1.0794117647058823;0.13713235294117648;3.228676470588235;0.046691176470588236;0.013970588235294118;0.008455882352941176;1.9378676470588236;3.2974264705882352;6.968014705882353;0.03419117647058824;0.3801470588235294;0.31176470588235294;0.3003676470588235;0.0;0.08125;0.0058823529411764705;;0.7397058823529412;0.6275735294117647;0.9;3.0128676470588234;0.2577205882352941;0.5191176470588236;0.15110294117647058;0.046691176470588236;0.10183823529411765;0.0007352941176470588;0.05772058823529412;0.9533088235294118;0.46948529411764706;0.7731617647058824;0.07058823529411765;0.10625;0.0003676470588235294;0.0;0.0;4.439705882352941;2.9091911764705882;0.0029411764705882353;0.2767226890757353;0.22929621848749995;0.026470588235294117;0.01948529411764706;0.2400735294117647;0.24595588235294116;0.2595588235294118;0.15183823529411763;0.08713235294117647;0.09411764705882353;0.04742647058823529;0.3356617647058823;0.35;1.5525735294117646;0.6345588235294117;1.2886029411764706
std;;29.945131145549286;0.16041422957549506;0.2246986313636997;1.2666261717773;5.683101192335201;13.092659944142541;0.344050271496778;27.485779955379346;1.4749433785939707;0.20428394452712784;0.13120304334322377;5.112435697535873;7.350230285271496;58.502189260907315;0.6027460210893429;2.788546950268075;2.12393006008076;2.268125037365508;0.0;0.6739637953919191;0.12707401467334256;;1.6286005477965273;1.2992390317134914;2.1760338248890845;6.40581032316874;0.7278260332656257;1.5232663992605489;0.4385340734422672;0.3468293948384842;0.5944424509111133;0.027111320320213562;0.5597567733650781;3.820208658779266;2.36247070844431;2.4800076528865187;0.5631986679185668;0.46277134620374955;0.01917412472118426;0.0;0.0;7.91612224858047;48.12035362846626;0.05416275918578076;1.1133585532418684;0.5871269561769115;0.3452478402828255;0.2169426119465181;0.6046990154910362;1.3405788733215707;0.7687227769680274;0.8551363124346054;0.3312517258883147;0.5630219395661754;0.935366571724222;1.1545743184688428;0.8088331762635862;4.875518549586376;1.1017975667574456;4.632442589384279
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0
max;;666.0;3.0;4.0;13.0;76.0;512.0;1.0;650.0;76.0;7.0;4.0;71.0;105.0;1178.0;16.0;85.0;44.0;77.0;0.0;16.0;4.0;;12.0;15.0;26.0;86.0;10.0;16.0;5.0;9.0;18.0;1.0;18.0;72.0;56.0;45.0;12.0;7.0;1.0;0.0;0.0;75.0;1028.0;1.0;36.285714286;6.0;9.0;6.0;6.0;26.0;10.0;16.0;5.0;10.0;36.0;15.0;14.0;75.0;7.0;64.0
