;NumberOfInnerClasses;FileLength;NumberOfPublicMethods_Checkstyle;NumberOfStringLiterals;NumberOfLambdas;NumberOfModifiers;ThrowsCount;CyclomaticComplexity;NCSSForThisFile;NumberOfAnonymousClasses;NumberOfMethods_Checkstyle;NumberOfAssignments;NumberOfUniqueWords;LOCMethod_CK;NumberOfLoops;NestedForDepth;NCSSForThisMethod;BuggedMethods;NumberOfParameters_CK;NumberOfMathOperations;BooleanExpressionComplexity;NCSSForThisClass;MaxNumberOfNestedBlocks;MethodLength;IsConstructor;AnonymousInnerClassLength;NPathComplexity;ClassFanOutComplexity;NumberOfNumbers;NumberOfLogStatements;NestedTryDepth;Returns;NumberOfComparisons;NumberOfProtectedMethod;NumberOfPrivateMethod;ExecutableStatementCount;NumberOfTryCatch;CBO;Maximum Depth;ClassDataAbstractionCoupling;NumberOfVariables;NumberOfParenthesizedExps;NestedIfElseDepth;RFC;WMC_CK;NumberOfPackageMethod
count;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0
unique;;;;;;;;;;;;;;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;False;;;;;;;False;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;1570;;;;;;;1551;;;;;;;;;;;;;;;;;;;;;
mean;0.0;12.285623409669212;0.41348600508905853;2.5197201017811706;0.0;6.035623409669212;0.1851145038167939;0.926208651399491;4.8893129770992365;0.0;0.4993638676844784;1.3791348600508906;10.522900763358779;4.827608142493639;0.0693384223918575;0.009541984732824428;4.038167938931298;;0.15521628498727735;0.11513994910941476;0.08396946564885496;4.520992366412214;0.13994910941475827;5.877226463104326;;0.048982188295165395;8.337786259541986;0.1876590330788804;8.11323155216285;0.0;0.0;0.21055979643765904;0.09351145038167939;0.01717557251908397;0.05788804071246819;3.241730279898219;0.003816793893129771;1.35941475826972;0.9427480916030534;0.07188295165394402;0.5502544529262087;0.10432569974554708;0.01717557251908397;1.5534351145038168;0.9389312977099237;0.02099236641221374
std;0.0;79.21963745211936;3.3464531416619816;9.279875925059397;0.0;63.23403834992779;0.40140719961665133;2.6676075391952705;41.268297760350244;0.0;3.6894916204653736;7.275869608754422;29.52701807959134;12.28673661953699;0.3084241707487093;0.11522228324840184;11.662277945450215;;0.4297403672400176;0.7603140449732431;0.6306998681631787;39.95610503102249;0.476841931707961;14.081677372530866;;1.0960342759201913;254.8598067408378;1.0679166393470767;270.3334596469701;0.0;0.0;0.5066739230283905;0.7404188850013491;0.20886809548739138;0.7651429842267209;10.802024425796546;0.061681814466882694;1.4458022517713114;1.129672509971938;0.4603137518428586;1.3931335428625562;0.9327790504704989;0.16454760143919428;1.9432612921679482;2.6807821384249744;0.3072508558496905
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0;2.0;;0.0;0.0;0.0;0.0;0.0;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
75%;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;16.0;5.0;0.0;0.0;4.0;;0.0;0.0;0.0;0.0;0.0;6.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0
max;0.0;1301.0;92.0;114.0;0.0;1025.0;2.0;91.0;999.0;0.0;93.0;98.0;1081.0;225.0;5.0;2.0;175.0;;6.0;15.0;7.0;991.0;5.0;245.0;;36.0;10000.0;15.0;10713.0;0.0;0.0;4.0;21.0;5.0;27.0;111.0;1.0;8.0;6.0;7.0;12.0;11.0;3.0;18.0;91.0;8.0
