;BuggedMethods;NumberOfNumbers;LongIdentifier;NumberOfInnerClasses;ComplexConditional;NumberOfTryCatch;NumberOfUniqueWords;IntensiveCoupling;WMC_CK;NumberOfStringLiterals;LongMethod_Organic_x;IsConstructor;LOCMethod;NumberOfModifiers;AbstractFunctionCallFromConstructor;RFC;NumberOfVariables;ComplexMethod;NumberOfParameters_CK;EmptyCatchClause;FileLength;ShotgunSurgery;MagicNumber;LOCMethod_CK;MessageChain;NumberOfLoops;NumberOfMathOperations;BrainMethod;NumberOfAnonymousClasses;NumberOfLogStatements;AnonymousInnerClassLength;NumberOfComparisons;MissingDefault;NumberOfLambdas;NumberOfAssignments;FeatureEnvy;CBO;LongStatement;LongParameterList_Organic_x;LongMethod_Organic_y;NumberOfParenthesizedExps;DispersedCoupling;Returns;CyclomaticComplexity_Designite;Maximum Depth;MethodLength;MaxNumberOfNestedBlocks;NumberOfParameters_Designite;LongParameterList_Organic_y
count;5682;5682.0;5682;5682.0;5682;5682.0;5682.0;5682;5682.0;5682.0;5682;5682;5682.0;5682.0;5682;5682.0;5682.0;5682;5682.0;5682;5682.0;5682;5682;5682.0;5682;5682.0;5682.0;5682;5682.0;5682.0;5682.0;5682.0;5682;5682.0;5682.0;5682;5682.0;5682;5682;5682;5682.0;5682;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682
unique;2;;2;;2;;;2;;;2;2;;;1;;;2;;2;;2;2;;2;;;2;;;;;2;;;2;;2;2;2;;2;;;;;;;2
top;False;;False;;False;;;False;;;False;False;;;False;;;False;;False;;False;False;;False;;;False;;;;;False;;;False;;False;False;False;;False;;;;;;;False
freq;5424;;5613;;5677;;;5664;;;5681;5648;;;5682;;;5659;;5677;;5680;5548;;5621;;;5681;;;;;5681;;;5356;;5423;5671;5639;;5679;;;;;;;5665
mean;;0.17317845828933473;;0.0;;0.014607532558958114;6.594332981344597;;0.8482928546286519;0.8975712777191129;;;4.21013727560718;0.9035550862372405;;1.7652235128475888;0.49859204505455823;;0.2653995072157691;;11.67757831749384;;;4.049982400563182;;0.044174586413234775;0.12055614220344948;;0.0040478704681450196;0.03467089053150299;0.09873284054910243;0.09785286870820134;;0.0;0.7624076029567054;;0.8882435762055614;;;;0.011087645195353749;;0.333861316437874;0.8187258007743752;0.7516719464977121;5.276311158042943;0.15452305526223162;0.275783174938402;
std;;1.1744202296170334;;0.0;;0.12288526224818154;9.464335983590171;;1.2428445747482455;3.099317868851086;;;8.505122306912488;1.6712331602374144;;3.881015228705756;1.5411099962307644;;0.4663991548508575;;91.36427620788834;;;6.575543773667897;;0.3139406566989734;1.3318052278917207;;0.07133264990384586;0.36483565890938546;1.7765320114644096;0.5058353040929341;;0.0;1.9303690417146333;;1.589219239450191;;;;0.12607675884296538;;0.5501860085707324;1.2373128419952288;1.090404703756199;10.21044358270413;0.5274257473206677;0.5598877985126531;
min;;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;
25%;;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;
50%;;0.0;;0.0;;0.0;4.0;;1.0;0.0;;;3.0;1.0;;0.0;0.0;;0.0;;0.0;;;3.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;;;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;
75%;;0.0;;0.0;;0.0;8.0;;1.0;0.0;;;3.0;1.0;;2.0;0.0;;1.0;;0.0;;;3.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;1.0;;1.0;;;;0.0;;1.0;1.0;2.0;4.0;0.0;1.0;
max;;42.0;;0.0;;2.0;68.0;;31.0;61.0;;;386.0;33.0;;44.0;30.0;;7.0;;3780.0;;;88.0;;15.0;60.0;;2.0;12.0;107.0;15.0;;0.0;33.0;;22.0;;;;3.0;;5.0;30.0;7.0;188.0;5.0;10.0;
