BuggedMethods;NumberOfMathOperations;NumberOfModifiers;Maximum Depth;MissingDefault;MaxNumberOfNestedBlocks;WMC_CK;MagicNumber
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;1.0;0.0;False;0.0;1.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;3.0;False;1.0;3.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
True;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;1.0;2.0;False;0.0;1.0;False
False;0.0;1.0;2.0;False;0.0;2.0;False
True;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
False;0.0;0.0;0.0;False;0.0;0.0;False
